CODPROD_PA;DESCRICAO_PA;MIN;MAX;MEDIA;DENSIDADE_FORMULA;QUANTIDADE;PADRAO_LAUDO;CODPROD_SA;DESCRICAO_SA;PESO_FORMULA;LITRAGEM
244;"STANDARD SB 3,6L CAMURCA";1,159;1,159;1,159;1,170;1;"1,15-1,20 G/CM³";4,212;3,6;606;"STANDARD SB CAMURCA - SA"
221;"STANDARD SB 18L CAMURCA";1,159;1,172;1,166;1,170;2;"1,15-1,20 G/CM³";21,060;18,0;606;"STANDARD SB CAMURCA - SA"
2853;"STANDARD FS 3,6L AZUL SERENO";1,239;1,239;1,239;1,310;1;"1,25-1,28 G/CM3";4,716;3,6;2793;"STANDARD FS AZUL SERENO - SA"
1598;"ESMALTE SINT BRILHANTE 0,9L BRANCO GELO";0,973;0,990;0,981;0,980;4;"0,98 (G/CM³)";0,882;0,9;1524;"ESMALTE SINT BRILHANTE BRANCO GELO - SA"
122;"PREMIUM FOSCO 18L AZUL OCEANO";1,300;1,305;1,303;1,290;2;"1,30 - 1,40 (G/CM³)";23,220;18,0;539;"PREMIUM FOSCO AZUL OCEANO - SA"
2854;"STANDARD FS 3,6L MARSALLA";1,302;1,302;1,302;1,310;1;"1,32-1,37 G/CM3";4,716;3,6;2795;"STANDARD FS  MARSALLA- SA"
107;"STANDARD SB 18L BRANCO NEVE";1,130;1,150;1,141;1,190;8;1,10-1,15;21,420;18,0;496;"STANDARD SB  BRANCO NEVE - SA"
277;"RESINA ACR BA KOKAR 3,6L CERAMICA TELHA";1,003;1,013;1,009;1,000;5;"1,01 -1,05 G/CM³";3,600;3,6;648;"RESINA ACR BA KOKAR CERAMICA TELHA - SA"
1653;"FUNDO E ACABAMENTO 3,6L CINZA MEDIO";1,050;1,073;1,061;1,080;3;1,05-1,10;3,888;3,6;1553;"FUNDO E ACABAMENTO CINZA MEDIO - SA"
1568;"ESMALTE SINT BRILHANTE 3,6L AREIA";0,960;0,970;0,965;0,980;2;"0,96 - 1,01 G/CM³";3,528;3,6;1520;"ESMALTE SINT BRILHANTE AREIA - SA"
382;"TINTA PISO KOKAR 18L PRETO";1,290;1,319;1,307;1,330;5;"1,30 - 1,35 (G/CM³)";23,940;18,0;724;"TINTA PISO KOKAR PRETO - SA"
1644;"FUNDO E ACABAMENTO 18L AZUL DEL REY";1,032;1,050;1,041;1,030;4;1,00-1,10;18,534;18,0;1550;"FUNDO E ACABAMENTO AZUL DEL REY- SA"
2136;"STANDARD FS 18L CAMURCA";1,298;1,316;1,304;1,310;6;1,30-1,34;23,580;18,0;2099;"STANDARD FS CAMURCA - SA "
2159;"STANDARD FS 18L VERDE KIWI ";1,273;1,315;1,294;1,310;2;1,30-1,34;23,580;18,0;2111;"STANDARD FS VERDE KIWI - SA "
